config,testset,testset_idx,n_samples,is_source,is_target,is_clean,true_acc,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,mano_fro_norm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
seed_42,val_source,0,10000,True,False,True,0.969200,0.969200,0.971300,0.996488,0.996488,0.027288,0.025188,0.993982,0.993982,0.024782,0.022682,0.984037,0.982800,0.013600,0.011500,0.985600,0.016400,0.014300,0.990553,0.021353,0.019253,0.990528,0.021328,0.019228,0.976671,0.007471,0.005371
seed_42,val_target,1,154121,False,True,True,0.732275,0.732275,0.767819,0.971251,0.971289,0.238976,0.203470,0.916699,0.916816,0.184424,0.148997,0.905250,0.888211,0.155936,0.120392,0.894914,0.162638,0.127095,0.941209,0.208934,0.173390,0.941184,0.208909,0.173366,0.999677,0.267402,0.231858
seed_42,imagenet_val_source,2,6000,True,False,True,0.942500,0.942500,0.945500,0.994975,0.995145,0.052475,0.049645,0.988298,0.988538,0.045798,0.043038,0.975879,0.970833,0.028333,0.025333,0.975333,0.032833,0.029833,0.984724,0.042224,0.039224,0.984699,0.042199,0.039199,0.975951,0.033451,0.030451
seed_42,imagenet_val_target,3,6000,False,True,True,0.717000,0.717000,0.759667,0.969426,0.969506,0.252426,0.209839,0.911846,0.911964,0.194846,0.152297,0.902507,0.882000,0.165000,0.122333,0.892000,0.175000,0.132333,0.938916,0.221916,0.179249,0.938892,0.221892,0.179225,0.895158,0.178158,0.135491
seed_42,corr_source_fog_sev1,4,6000,True,False,False,0.867333,0.867333,0.882167,0.984943,0.984953,0.117610,0.102787,0.957707,0.958019,0.090374,0.075852,0.941875,0.933000,0.065667,0.050833,0.938667,0.071333,0.056500,0.964928,0.097595,0.082762,0.964904,0.097570,0.082737,0.943219,0.075886,0.061052
seed_42,corr_source_fog_sev2,5,6000,True,False,False,0.837667,0.837667,0.861167,0.977853,0.978230,0.140187,0.117064,0.941266,0.941289,0.103599,0.080122,0.925654,0.911500,0.073833,0.050333,0.915000,0.077333,0.053833,0.954302,0.116635,0.093135,0.954278,0.116611,0.093111,0.921759,0.084092,0.060592
seed_42,corr_source_fog_sev3,6,6000,True,False,False,0.784500,0.784500,0.826500,0.966764,0.966786,0.182264,0.140286,0.899537,0.900292,0.115037,0.073792,0.897881,0.878667,0.094167,0.052167,0.877667,0.093167,0.051167,0.936344,0.151844,0.109844,0.936319,0.151819,0.109819,0.890118,0.105618,0.063618
seed_42,corr_source_fog_sev4,7,6000,True,False,False,0.734000,0.734000,0.800333,0.963372,0.963564,0.229372,0.163230,0.866922,0.877189,0.132922,0.076856,0.876610,0.858000,0.124000,0.057667,0.855333,0.121333,0.055000,0.923706,0.189706,0.123372,0.923681,0.189681,0.123348,0.863215,0.129215,0.062881
seed_42,corr_source_fog_sev5,8,6000,True,False,False,0.585333,0.585333,0.743833,0.938241,0.938241,0.352908,0.194408,0.741271,0.827197,0.155938,0.083364,0.804857,0.760833,0.175500,0.017000,0.747667,0.162333,0.003833,0.874411,0.289077,0.130577,0.874386,0.289053,0.130553,0.754426,0.169093,0.010593
seed_42,corr_source_frost_sev1,9,6000,True,False,False,0.855500,0.855500,0.873167,0.982533,0.982789,0.127033,0.109622,0.946968,0.948296,0.091468,0.075129,0.933052,0.922333,0.066833,0.049167,0.925167,0.069667,0.052000,0.957652,0.102152,0.084485,0.957627,0.102127,0.084460,0.931826,0.076326,0.058659
